,Bank_name,MC_USD_Billion
0,Industrial and Commercial Bank of China,6303.44
1,Agricultural Bank of China,5623.12
2,China Construction Bank,5400.28
3,Bank of China,4578.28
4,JPMorgan Chase,3875.39
5,Bank of America,3180.15
6,HSBC,2919.84
7,BNP Paribas,2867.44
8,Mitsubishi UFJ Financial Group,2816.77
9,Crédit Agricole,2736.95
10,Postal Savings Bank of China,2217.86
11,Citigroup,2200.83
12,SMBC Group,2027.34
13,Banco Santander,1986.36
14,Bank of Communications,1982.89
15,Wells Fargo,1932.47
16,Mizuho Financial Group,1923.56
17,Barclays,1891.72
18,Société Générale,1717.49
19,UBS,1717.25
20,Groupe BPCE,1706.8
21,Goldman Sachs,1641.59
22,Japan Post Bank,1625.6
23,Royal Bank of Canada,1566.41
24,China Merchants Bank,1555.3
25,Deutsche Bank,1450.57
26,Industrial Bank (China),1432.59
27,Toronto-Dominion Bank,1428.29
28,China CITIC Bank,1276.63
29,Crédit Mutuel,1262.95
30,Shanghai Pudong Development Bank,1207.18
31,Morgan Stanley,1193.69
32,Lloyds Banking Group,1122.76
33,China Minsheng Bank,1082.37
34,ING Group,1078.35
35,Intesa Sanpaolo,1066.74
36,Scotiabank,1041.11
37,Bank of Montreal,990.19
38,China Everbright Bank,955.14
39,NatWest Group,882.3
40,UniCredit,872.9
41,Commonwealth Bank,868.74
42,Banco Bilbao Vizcaya Argentaria,857.25
43,Standard Chartered,822.84
44,La Banque postale,815.91
45,Ping An Bank,787.93
46,State Bank of India,780.05
47,ANZ Group,769.59
48,Canadian Imperial Bank of Commerce,726.27
49,DZ Bank,712.49
50,Norinchukin Bank,702.03
51,National Australia Bank,683.41
52,Rabobank,678.45
53,CaixaBank,671.13
54,Westpac,664.5
55,U.S. Bancorp,663.49
56,Nordea,662.71
57,Capital One,629.99
58,KfW,604.95
59,Sberbank of Russia,581.88
60,Commerzbank,571.64
61,Huaxia Bank,562.58
62,PNC Financial Services,561.58
63,DBS Group,560.1
64,Itaú Unibanco,555.72
65,KB Financial Group,551.94
66,Danske Bank,542.81
67,Truist Financial Corp,535.35
68,Shinhan Financial Group,533.48
69,Resona Holdings,527.53
70,Sumitomo Mitsui Trust Holdings,520.34
71,Bank of Beijing,503.31
72,China Guangfa Bank,495.55
73,Charles Schwab Corporation,493.18
74,HDFC Bank,464.34
75,Bank of Jiangsu,457.25
76,Hana Financial Group,456.47
77,Banco do Brasil,447.72
78,Nationwide Building Society,446.95
79,China Zheshang Bank,443.37
80,Oversea-Chinese Banking Corporation,441.53
81,Bank of Shanghai,435.14
82,ABN AMRO,417.72
83,BNY,409.88
84,Banco Bradesco,394.76
85,Nonghyup Bank,394.46
86,Nomura Holdings,388.42
87,Woori Financial Group,382.05
88,KBC Group,383.47
89,Caixa Econômica Federal,377.29
90,Erste Group,372.67
91,Landesbank Baden-Württemberg,368.41
92,Bank of Ningbo,365.96
93,SEB Group,358.79
94,Raiffeisen Group,352.87
95,Handelsbanken,351.79
96,Industrial Bank of Korea,345.81
97,DNB,339.21
98,Qatar National Bank,338.14
99,VTB Bank,326.85
